id,framework_name,track,status,detail_level,source_hint,priority,score,yaml_path,notes
1,"Jobs to Be Done (JTBD)",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Clayton Christensen - Competing Against Luck",high,42,contexts/patterns/jobs-to-be-done/SKILL.md,"Customer job-based product development - 117 lines"
2,"Continuous Discovery Habits",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Teresa Torres - Book title",high,45,contexts/patterns/continuous-discovery-habits/SKILL.md,"Weekly customer research methodology - 208 lines"
3,"Product Discovery vs Delivery",practitioner-frameworks,ARTIFACTS_READY,full-detail,"General PM concept",medium,41,contexts/patterns/dual-track-agile/SKILL.md,"Dual-track agile parallel validation - 261 lines"
4,"Opportunity Solution Trees",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Teresa Torres - Continuous Discovery",high,43,contexts/patterns/opportunity-solution-trees/SKILL.md,"Visual discovery mapping framework - 315 lines"
5,"RICE Prioritization",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Intercom framework",high,48,contexts/patterns/rice-prioritization/SKILL.md,"Reach Impact Confidence Effort scoring - 140 lines"
6,"Kano Model",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Noriaki Kano",medium,45,contexts/patterns/kano-model/SKILL.md,"Customer satisfaction feature categorization - 88 lines"
7,"North Star Framework",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Amplitude/Sean Ellis",high,48,contexts/patterns/north-star-framework/SKILL.md,"Single metric alignment framework - 96 lines"
8,"Product-Market Fit Measurement",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Sean Ellis 40% test",high,47,contexts/patterns/product-market-fit-survey/SKILL.md,"PMF survey and 40% threshold - 100 lines"
9,"Product Strategy Frameworks",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Gibson Biddle - DHM Model",high,46,contexts/patterns/dhm-product-strategy/SKILL.md,"Delight Hard-to-copy Margin strategy - 107 lines"
10,"Product Trio Model",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Marty Cagan - Inspired",high,40,contexts/patterns/product-trio/SKILL.md,"PM + Design + Engineering collaboration - 152 lines"
11,"Design Sprint",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Jake Knapp - Sprint book",high,47,contexts/patterns/design-sprint/SKILL.md,"5-day process for solving problems - 192 lines"
12,"User Story Mapping",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Jeff Patton - Book title",medium,41,contexts/patterns/user-story-mapping/SKILL.md,"Visual backlog technique - 209 lines"
13,"Lean Product Development",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Dan Olsen - Lean Product Playbook",medium,42,contexts/patterns/lean-product-playbook/SKILL.md,"Six-step methodology for product-market fit - 160 lines"
14,"Product Empowerment Framework",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Marty Cagan - Empowered/Transformed",high,43,contexts/patterns/product-empowerment/SKILL.md,"Team autonomy and accountability framework - 180 lines"
15,"Deploy Empathy Framework",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Michele Hansen - Customer research",medium,42,contexts/patterns/deploy-empathy/SKILL.md,"Customer interview methodology - 191 lines"
16,"The Mom Test",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Rob Fitzpatrick - Customer conversations",high,49,contexts/patterns/mom-test/SKILL.md,"Effective customer interview questions - 138 lines"
17,"Product Roadmapping",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Lombardo et al - Outcome-based roadmaps",medium,42,contexts/patterns/outcome-based-roadmaps/SKILL.md,"Outcome-based strategic roadmap framework - 199 lines"
18,"Radical Product Thinking",practitioner-frameworks,ARTIFACTS_READY,full-detail,"Radhika Dutt - Vision-driven development",medium,42,contexts/patterns/radical-product-thinking/SKILL.md,"Product vision framework - 230 lines"
19,"Outcomes Over Output",practitioner-frameworks,UNKNOWN,one-liner,"Josh Seiden - Modern product management",high,0,,"Success measurement philosophy"
20,"Hooked Model",practitioner-frameworks,UNKNOWN,one-liner,"Nir Eyal - Habit formation",medium,0,,"4-step behavior design (Trigger Action Variable Reward Investment)"
